package,exact_locked_version,role,source,license_spdx,redistribution_note,native_runtime_concerns
asn1js,3.0.10,transitive,https://registry.npmjs.org/asn1js/-/asn1js-3.0.10.tgz,BSD-3-Clause,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
async,3.2.6,transitive,https://registry.npmjs.org/async/-/async-3.2.6.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
async-exit-hook,2.0.1,transitive,https://registry.npmjs.org/async-exit-hook/-/async-exit-hook-2.0.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
asynckit,0.4.0,transitive,https://registry.npmjs.org/asynckit/-/asynckit-0.4.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
at-least-node,1.0.0,transitive,https://registry.npmjs.org/at-least-node/-/at-least-node-1.0.0.tgz,ISC,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
atomically,2.1.1,transitive,https://registry.npmjs.org/atomically/-/atomically-2.1.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
aws4,1.13.2,transitive,https://registry.npmjs.org/aws4/-/aws4-1.13.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
balanced-match,1.0.2,transitive,https://registry.npmjs.org/balanced-match/-/balanced-match-1.0.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
balanced-match,1.0.2,transitive,https://registry.npmjs.org/balanced-match/-/balanced-match-1.0.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
balanced-match,1.0.2,transitive,https://registry.npmjs.org/balanced-match/-/balanced-match-1.0.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
balanced-match,1.0.2,transitive,https://registry.npmjs.org/balanced-match/-/balanced-match-1.0.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
balanced-match,1.0.2,transitive,https://registry.npmjs.org/balanced-match/-/balanced-match-1.0.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
balanced-match,4.0.4,transitive,https://registry.npmjs.org/balanced-match/-/balanced-match-4.0.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
base64-js,1.5.1,transitive,https://registry.npmjs.org/base64-js/-/base64-js-1.5.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
beautifulsoup4,4.15.0,transitive,https://files.pythonhosted.org/packages/88/c6/92fcd42f1ba33e1184263f25bfabf3d27c383410470f169e4b8163bf9c17/beautifulsoup4-4.15.0-py3-none-any.whl,MIT License,Retain applicable upstream Python license and notice obligations; review package license files before redistribution.,Python 3.14.5 win_amd64 packaged backend runtime
bluebird,3.7.2,transitive,https://registry.npmjs.org/bluebird/-/bluebird-3.7.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
boolean,3.2.0,transitive,https://registry.npmjs.org/boolean/-/boolean-3.2.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
brace-expansion,1.1.18,transitive,https://registry.npmjs.org/brace-expansion/-/brace-expansion-1.1.18.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
brace-expansion,1.1.18,transitive,https://registry.npmjs.org/brace-expansion/-/brace-expansion-1.1.18.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
brace-expansion,1.1.18,transitive,https://registry.npmjs.org/brace-expansion/-/brace-expansion-1.1.18.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
brace-expansion,2.1.4,transitive,https://registry.npmjs.org/brace-expansion/-/brace-expansion-2.1.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
brace-expansion,2.1.4,transitive,https://registry.npmjs.org/brace-expansion/-/brace-expansion-2.1.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
brace-expansion,5.0.9,transitive,https://registry.npmjs.org/brace-expansion/-/brace-expansion-5.0.9.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
buffer-crc32,0.2.13,transitive,https://registry.npmjs.org/buffer-crc32/-/buffer-crc32-0.2.13.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
buffer-from,1.1.2,transitive,https://registry.npmjs.org/buffer-from/-/buffer-from-1.1.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
builder-util,26.15.3,transitive,https://registry.npmjs.org/builder-util/-/builder-util-26.15.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
builder-util-runtime,9.7.0,transitive,https://registry.npmjs.org/builder-util-runtime/-/builder-util-runtime-9.7.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
bytestreamjs,2.0.1,transitive,https://registry.npmjs.org/bytestreamjs/-/bytestreamjs-2.0.1.tgz,BSD-3-Clause,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
cacheable-lookup,5.0.4,transitive,https://registry.npmjs.org/cacheable-lookup/-/cacheable-lookup-5.0.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
cacheable-request,7.0.4,transitive,https://registry.npmjs.org/cacheable-request/-/cacheable-request-7.0.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
call-bind-apply-helpers,1.0.2,transitive,https://registry.npmjs.org/call-bind-apply-helpers/-/call-bind-apply-helpers-1.0.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
certifi,2026.7.22,transitive,https://files.pythonhosted.org/packages/0b/a7/71ac2cff56fec219ed242bb11b8efb69fcc4bec75db06fb7bfe35de520e6/certifi-2026.7.22-py3-none-any.whl,MPL-2.0,Retain applicable upstream Python license and notice obligations; review package license files before redistribution.,Python 3.14.5 win_amd64 packaged backend runtime
cffi,2.1.1,transitive,https://files.pythonhosted.org/packages/a7/06/1c3e01e3ba14c39f6d10bfbac52753b7e22259e38088e5cfe1d704918690/cffi-2.1.1-cp314-cp314-win_amd64.whl,MIT-0,Retain applicable upstream Python license and notice obligations; review package license files before redistribution.,Python 3.14.5 win_amd64 packaged backend runtime
chalk,4.1.2,transitive,https://registry.npmjs.org/chalk/-/chalk-4.1.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
charset-normalizer,3.5.1,transitive,https://files.pythonhosted.org/packages/7a/7c/4938c329b6a9d446f6a59aa2092ff7118f274209b5ed0e26893d1d30a63c/charset_normalizer-3.5.1-cp314-cp314-win_amd64.whl,MIT,Retain applicable upstream Python license and notice obligations; review package license files before redistribution.,Python 3.14.5 win_amd64 packaged backend runtime
chownr,3.0.0,transitive,https://registry.npmjs.org/chownr/-/chownr-3.0.0.tgz,BlueOak-1.0.0,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
chromium-pickle-js,0.2.0,transitive,https://registry.npmjs.org/chromium-pickle-js/-/chromium-pickle-js-0.2.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
ci-info,4.3.1,transitive,https://registry.npmjs.org/ci-info/-/ci-info-4.3.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
ci-info,4.4.0,transitive,https://registry.npmjs.org/ci-info/-/ci-info-4.4.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
classcat,5.0.5,transitive,https://registry.npmjs.org/classcat/-/classcat-5.0.5.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
cliui,8.0.1,transitive,https://registry.npmjs.org/cliui/-/cliui-8.0.1.tgz,ISC,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
clone-response,1.0.3,transitive,https://registry.npmjs.org/clone-response/-/clone-response-1.0.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
cmdk,1.1.1,direct-runtime,https://registry.npmjs.org/cmdk/-/cmdk-1.1.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
color-convert,2.0.1,transitive,https://registry.npmjs.org/color-convert/-/color-convert-2.0.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
color-name,1.1.4,transitive,https://registry.npmjs.org/color-name/-/color-name-1.1.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
colorama,0.4.6,transitive,https://files.pythonhosted.org/packages/d1/d6/3965ed04c63042e047cb6a3e6ed1a63a35087b6a609aa3a15ed8ac56c221/colorama-0.4.6-py2.py3-none-any.whl,BSD-3-Clause,Retain applicable upstream Python license and notice obligations; review package license files before redistribution.,Python 3.14.5 win_amd64 packaged backend runtime
combined-stream,1.0.8,transitive,https://registry.npmjs.org/combined-stream/-/combined-stream-1.0.8.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
commander,5.1.0,transitive,https://registry.npmjs.org/commander/-/commander-5.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
commander,9.5.0,transitive,https://registry.npmjs.org/commander/-/commander-9.5.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
compare-version,0.1.2,transitive,https://registry.npmjs.org/compare-version/-/compare-version-0.1.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
concat-map,0.0.1,transitive,https://registry.npmjs.org/concat-map/-/concat-map-0.0.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
conf,14.0.0,transitive,https://registry.npmjs.org/conf/-/conf-14.0.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
core-util-is,1.0.3,transitive,https://registry.npmjs.org/core-util-is/-/core-util-is-1.0.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
cross-dirname,0.1.0,transitive,https://registry.npmjs.org/cross-dirname/-/cross-dirname-0.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
cross-spawn,7.0.6,transitive,https://registry.npmjs.org/cross-spawn/-/cross-spawn-7.0.6.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
csstype,3.2.3,transitive,https://registry.npmjs.org/csstype/-/csstype-3.2.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
curl_cffi,0.16.1,transitive,https://files.pythonhosted.org/packages/f8/b5/dd86c045f7353c13dd1d7ea8d73515218ff7b710aa1d6f94f54cab1572ba/curl_cffi-0.16.1-cp310-abi3-win_amd64.whl,MIT,Retain applicable upstream Python license and notice obligations; review package license files before redistribution.,Python 3.14.5 win_amd64 packaged backend runtime
d3-color,3.1.0,transitive,https://registry.npmjs.org/d3-color/-/d3-color-3.1.0.tgz,ISC,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
d3-dispatch,3.0.1,transitive,https://registry.npmjs.org/d3-dispatch/-/d3-dispatch-3.0.1.tgz,ISC,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
d3-drag,3.0.0,transitive,https://registry.npmjs.org/d3-drag/-/d3-drag-3.0.0.tgz,ISC,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
d3-ease,3.0.1,transitive,https://registry.npmjs.org/d3-ease/-/d3-ease-3.0.1.tgz,BSD-3-Clause,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
d3-interpolate,3.0.1,transitive,https://registry.npmjs.org/d3-interpolate/-/d3-interpolate-3.0.1.tgz,ISC,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
d3-selection,3.0.0,transitive,https://registry.npmjs.org/d3-selection/-/d3-selection-3.0.0.tgz,ISC,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
d3-timer,3.0.1,transitive,https://registry.npmjs.org/d3-timer/-/d3-timer-3.0.1.tgz,ISC,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
d3-transition,3.0.1,transitive,https://registry.npmjs.org/d3-transition/-/d3-transition-3.0.1.tgz,ISC,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
d3-zoom,3.0.0,transitive,https://registry.npmjs.org/d3-zoom/-/d3-zoom-3.0.0.tgz,ISC,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
debounce-fn,6.0.0,transitive,https://registry.npmjs.org/debounce-fn/-/debounce-fn-6.0.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
debug,4.4.3,transitive,https://registry.npmjs.org/debug/-/debug-4.4.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
decompress-response,6.0.0,transitive,https://registry.npmjs.org/decompress-response/-/decompress-response-6.0.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
decorator,5.3.1,transitive,https://files.pythonhosted.org/packages/05/7f/798705f5296a58ca505d600456748d1be48078eac8a7050d8a98bc9edb89/decorator-5.3.1-py3-none-any.whl,BSD-2-Clause,Retain applicable upstream Python license and notice obligations; review package license files before redistribution.,Python 3.14.5 win_amd64 packaged backend runtime
defer-to-connect,2.0.1,transitive,https://registry.npmjs.org/defer-to-connect/-/defer-to-connect-2.0.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
define-data-property,1.1.4,transitive,https://registry.npmjs.org/define-data-property/-/define-data-property-1.1.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
define-properties,1.2.1,transitive,https://registry.npmjs.org/define-properties/-/define-properties-1.2.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
delayed-stream,1.0.0,transitive,https://registry.npmjs.org/delayed-stream/-/delayed-stream-1.0.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
detect-node,2.1.0,transitive,https://registry.npmjs.org/detect-node/-/detect-node-2.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
detect-node-es,1.1.0,transitive,https://registry.npmjs.org/detect-node-es/-/detect-node-es-1.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
dir-compare,4.2.0,transitive,https://registry.npmjs.org/dir-compare/-/dir-compare-4.2.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
dmg-builder,26.15.3,transitive,https://registry.npmjs.org/dmg-builder/-/dmg-builder-26.15.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
dockview,7.0.4,transitive,https://registry.npmjs.org/dockview/-/dockview-7.0.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
dockview-core,7.0.4,transitive,https://registry.npmjs.org/dockview-core/-/dockview-core-7.0.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
dockview-react,7.0.4,direct-runtime,https://registry.npmjs.org/dockview-react/-/dockview-react-7.0.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
dompurify,3.4.8,transitive,https://registry.npmjs.org/dompurify/-/dompurify-3.4.8.tgz,(MPL-2.0 OR Apache-2.0),Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
dot-prop,9.0.0,transitive,https://registry.npmjs.org/dot-prop/-/dot-prop-9.0.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
dotenv,16.6.1,transitive,https://registry.npmjs.org/dotenv/-/dotenv-16.6.1.tgz,BSD-2-Clause,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
dotenv-expand,11.0.7,transitive,https://registry.npmjs.org/dotenv-expand/-/dotenv-expand-11.0.7.tgz,BSD-2-Clause,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
dunder-proto,1.0.1,transitive,https://registry.npmjs.org/dunder-proto/-/dunder-proto-1.0.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
duplexer2,0.1.4,transitive,https://registry.npmjs.org/duplexer2/-/duplexer2-0.1.4.tgz,BSD-3-Clause,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
echarts,6.1.0,direct-runtime,https://registry.npmjs.org/echarts/-/echarts-6.1.0.tgz,Apache-2.0,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
ejs,3.1.10,transitive,https://registry.npmjs.org/ejs/-/ejs-3.1.10.tgz,Apache-2.0,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
electron,39.8.10,direct-development,https://registry.npmjs.org/electron/-/electron-39.8.10.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,install-script
electron-builder,26.15.3,direct-development,https://registry.npmjs.org/electron-builder/-/electron-builder-26.15.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
electron-builder-squirrel-windows,26.15.3,transitive,https://registry.npmjs.org/electron-builder-squirrel-windows/-/electron-builder-squirrel-windows-26.15.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
electron-publish,26.15.3,transitive,https://registry.npmjs.org/electron-publish/-/electron-publish-26.15.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
electron-store,10.1.0,direct-runtime,https://registry.npmjs.org/electron-store/-/electron-store-10.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
electron-winstaller,5.4.0,transitive,https://registry.npmjs.org/electron-winstaller/-/electron-winstaller-5.4.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,install-script
emoji-regex,8.0.0,transitive,https://registry.npmjs.org/emoji-regex/-/emoji-regex-8.0.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
end-of-stream,1.4.5,transitive,https://registry.npmjs.org/end-of-stream/-/end-of-stream-1.4.5.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
env-paths,2.2.1,transitive,https://registry.npmjs.org/env-paths/-/env-paths-2.2.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
env-paths,3.0.0,transitive,https://registry.npmjs.org/env-paths/-/env-paths-3.0.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
err-code,2.0.3,transitive,https://registry.npmjs.org/err-code/-/err-code-2.0.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
es-define-property,1.0.1,transitive,https://registry.npmjs.org/es-define-property/-/es-define-property-1.0.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
es-errors,1.3.0,transitive,https://registry.npmjs.org/es-errors/-/es-errors-1.3.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
es-object-atoms,1.1.2,transitive,https://registry.npmjs.org/es-object-atoms/-/es-object-atoms-1.1.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
es-set-tostringtag,2.1.0,transitive,https://registry.npmjs.org/es-set-tostringtag/-/es-set-tostringtag-2.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
es6-error,4.1.1,transitive,https://registry.npmjs.org/es6-error/-/es6-error-4.1.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
esbuild,0.25.12,transitive,https://registry.npmjs.org/esbuild/-/esbuild-0.25.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,install-script
escalade,3.2.0,transitive,https://registry.npmjs.org/escalade/-/escalade-3.2.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
escape-string-regexp,4.0.0,transitive,https://registry.npmjs.org/escape-string-regexp/-/escape-string-regexp-4.0.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
et_xmlfile,2.0.0,transitive,https://files.pythonhosted.org/packages/c1/8b/5fe2cc11fee489817272089c4203e679c63b570a5aaeb18d852ae3cbba6a/et_xmlfile-2.0.0-py3-none-any.whl,MIT,Retain applicable upstream Python license and notice obligations; review package license files before redistribution.,Python 3.14.5 win_amd64 packaged backend runtime
exponential-backoff,3.1.3,transitive,https://registry.npmjs.org/exponential-backoff/-/exponential-backoff-3.1.3.tgz,Apache-2.0,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
extract-zip,2.0.1,transitive,https://registry.npmjs.org/extract-zip/-/extract-zip-2.0.1.tgz,BSD-2-Clause,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fancy-canvas,2.1.0,transitive,https://registry.npmjs.org/fancy-canvas/-/fancy-canvas-2.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fast-deep-equal,3.1.3,transitive,https://registry.npmjs.org/fast-deep-equal/-/fast-deep-equal-3.1.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fast-uri,3.1.5,transitive,https://registry.npmjs.org/fast-uri/-/fast-uri-3.1.5.tgz,BSD-3-Clause,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fd-slicer,1.1.0,transitive,https://registry.npmjs.org/fd-slicer/-/fd-slicer-1.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fdir,6.5.0,transitive,https://registry.npmjs.org/fdir/-/fdir-6.5.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
filelist,1.0.6,transitive,https://registry.npmjs.org/filelist/-/filelist-1.0.6.tgz,Apache-2.0,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
form-data,4.0.6,transitive,https://registry.npmjs.org/form-data/-/form-data-4.0.6.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,10.1.0,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-10.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,10.1.0,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-10.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,10.1.0,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-10.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,10.1.0,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-10.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,10.1.0,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-10.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,10.1.0,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-10.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,10.1.0,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-10.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,11.3.1,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-11.3.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,11.4.0,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-11.4.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,11.4.0,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-11.4.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,7.0.1,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-7.0.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,8.1.0,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-8.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,8.1.0,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-8.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,9.1.0,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-9.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,9.1.0,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-9.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs-extra,9.1.0,transitive,https://registry.npmjs.org/fs-extra/-/fs-extra-9.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fs.realpath,1.0.0,transitive,https://registry.npmjs.org/fs.realpath/-/fs.realpath-1.0.0.tgz,ISC,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
fsevents,2.3.3,transitive,https://registry.npmjs.org/fsevents/-/fsevents-2.3.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,install-script; os=darwin
function-bind,1.1.2,transitive,https://registry.npmjs.org/function-bind/-/function-bind-1.1.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
genai-prices,0.1.4,transitive,https://files.pythonhosted.org/packages/e6/54/911961e926a4c4ea30bf1fa0bf9d8ffc5c9ac5ed6a3f77b3d9e0ab5bb9a5/genai_prices-0.1.4-py3-none-any.whl,MIT,Retain applicable upstream Python license and notice obligations; review package license files before redistribution.,Python 3.14.5 win_amd64 packaged backend runtime
get-caller-file,2.0.5,transitive,https://registry.npmjs.org/get-caller-file/-/get-caller-file-2.0.5.tgz,ISC,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
get-intrinsic,1.3.0,transitive,https://registry.npmjs.org/get-intrinsic/-/get-intrinsic-1.3.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
get-nonce,1.0.1,transitive,https://registry.npmjs.org/get-nonce/-/get-nonce-1.0.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
get-proto,1.0.1,transitive,https://registry.npmjs.org/get-proto/-/get-proto-1.0.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
get-stream,5.2.0,transitive,https://registry.npmjs.org/get-stream/-/get-stream-5.2.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
